"No","SourceLine","Side","Sequence","Cycle","Step","StartTime","OffsetMs","DurationMs","Message"
"1","2","Front","FrontPickerPlaceSequence","","CheckUnit","03:19:26.837","0","0","Place 시작."
"2","3","Front","FrontPickerPlaceSequence","","BuildPickedPickerList","03:19:26.837","0","1","Place 피커 목록 생성 시작."
"3","4","Front","FrontPickerPlaceSequence","","MoveAllPickerZToAvoid","03:19:26.838","1","0","Place 전체 피커 Z Avoid 이동 시작."
"4","5","Front","FrontPickerPlaceSequence","1","SelectNextPicker","03:19:26.838","1","0","Place 다음 피커 선택 시작."
"5","6","Front","FrontPickerPlaceSequence","1","ResolveOutputSide","03:19:26.838","1","0","Place 아웃풋 사이드 결정 시작."
"6","7","Front","FrontPickerPlaceSequence","1","VerifyOutputStageReady","03:19:26.838","1","0","Place 아웃풋 스테이지 수령 준비 확인 시작."
"7","8","Front","FrontPickerPlaceSequence","1","ReserveOutputStageTarget","03:19:26.838","1","7","Place 아웃풋 스테이지 대상 예약 시작."
"8","9","Front","FrontPickerPlaceSequence","1","MoveOutputStageAvoidPosition","03:19:26.845","8","0","Place 아웃풋 스테이지 피커 진입용 Avoid 이동 시작."
"9","10","Front","FrontPickerPlaceSequence","1","MoveOutputStageReceivePosition","03:19:26.845","8","3","Place 아웃풋 스테이지 수령 위치 이동 시작."
"10","11","Front","FrontPickerPlaceSequence","1","MoveOutputStageReceivePosition","03:19:26.848","11","526","Place 대상 좌표 계산 완료."
"11","12","Front","FrontPickerPlaceSequence","1","MoveOutputStageReceivePosition","03:19:27.374","537","0","Place 대상 좌표 이동 완료."
"12","13","Front","FrontPickerPlaceSequence","1","MoveOutputStageReceivePosition","03:19:27.374","537","0","Place 대상 좌표 이동 후 Z Ready 확인 완료."
"13","14","Front","FrontPickerPlaceSequence","1","VerifyPlaceTarget","03:19:27.374","537","0","Place 대상 검증 시작."
"14","15","Front","FrontPickerPlaceSequence","1","MovePickerZPlace","03:19:27.374","537","381","Place 피커 Z 플레이스 이동 시작."
"15","16","Front","FrontPickerPlaceSequence","1","VacuumOff","03:19:27.755","918","14","Place 진공 OFF 처리 시작."
"16","17","Front","FrontPickerPlaceSequence","1","BlowOff","03:19:27.769","932","20","Place 블로우 OFF 처리 시작."
"17","18","Front","FrontPickerPlaceSequence","1","MovePickerZToAvoid","03:19:27.789","952","415","Place 피커 Z Avoid 이동 시작."
"18","19","Front","FrontPickerPlaceSequence","1","VerifyFlowOff","03:19:28.204","1367","0","Place Flow OFF 최종 확인 시작."
"19","20","Front","FrontPickerPlaceSequence","1","UpdateMaterialToOutputStage","03:19:28.204","1367","1","Place 자재로 아웃풋 스테이지 갱신 시작."
"20","21","Front","FrontPickerPlaceSequence","1","RecoverOutputStageAfterPlace","03:19:28.205","1368","0","Place 완료 후 아웃풋 스테이지 복귀 시작."
"21","22","Front","FrontPickerPlaceSequence","1","SelectNextPickerOrComplete","03:19:28.205","1368","0","Place 완료 후 다음 피커 또는 완료 선택 시작."
"22","23","Front","FrontPickerPlaceSequence","2","SelectNextPicker","03:19:28.205","1368","5","Place 다음 피커 선택 시작."
"23","24","Front","FrontPickerPlaceSequence","2","ResolveOutputSide","03:19:28.210","1373","0","Place 아웃풋 사이드 결정 시작."
"24","25","Front","FrontPickerPlaceSequence","2","VerifyOutputStageReady","03:19:28.210","1373","0","Place 아웃풋 스테이지 수령 준비 확인 시작."
"25","26","Front","FrontPickerPlaceSequence","2","ReserveOutputStageTarget","03:19:28.210","1373","8","Place 아웃풋 스테이지 대상 예약 시작."
"26","27","Front","FrontPickerPlaceSequence","2","MoveOutputStageAvoidPosition","03:19:28.218","1381","0","Place 아웃풋 스테이지 피커 진입용 Avoid 이동 시작."
"27","28","Front","FrontPickerPlaceSequence","2","MoveOutputStageReceivePosition","03:19:28.218","1381","1","Place 아웃풋 스테이지 수령 위치 이동 시작."
"28","29","Front","FrontPickerPlaceSequence","2","MoveOutputStageReceivePosition","03:19:28.219","1382","555","Place 대상 좌표 계산 완료."
"29","30","Front","FrontPickerPlaceSequence","2","MoveOutputStageReceivePosition","03:19:28.774","1937","0","Place 대상 좌표 이동 완료."
"30","31","Front","FrontPickerPlaceSequence","2","MoveOutputStageReceivePosition","03:19:28.774","1937","0","Place 대상 좌표 이동 후 Z Ready 확인 완료."
"31","32","Front","FrontPickerPlaceSequence","2","VerifyPlaceTarget","03:19:28.774","1937","0","Place 대상 검증 시작."
"32","33","Front","FrontPickerPlaceSequence","2","MovePickerZPlace","03:19:28.774","1937","408","Place 피커 Z 플레이스 이동 시작."
"33","34","Front","FrontPickerPlaceSequence","2","VacuumOff","03:19:29.182","2345","29","Place 진공 OFF 처리 시작."
"34","35","Front","FrontPickerPlaceSequence","2","BlowOff","03:19:29.211","2374","13","Place 블로우 OFF 처리 시작."
"35","36","Front","FrontPickerPlaceSequence","2","MovePickerZToAvoid","03:19:29.224","2387","398","Place 피커 Z Avoid 이동 시작."
"36","37","Front","FrontPickerPlaceSequence","2","VerifyFlowOff","03:19:29.622","2785","0","Place Flow OFF 최종 확인 시작."
"37","38","Front","FrontPickerPlaceSequence","2","UpdateMaterialToOutputStage","03:19:29.622","2785","1","Place 자재로 아웃풋 스테이지 갱신 시작."
"38","39","Front","FrontPickerPlaceSequence","2","RecoverOutputStageAfterPlace","03:19:29.623","2786","0","Place 완료 후 아웃풋 스테이지 복귀 시작."
"39","40","Front","FrontPickerPlaceSequence","2","SelectNextPickerOrComplete","03:19:29.623","2786","0","Place 완료 후 다음 피커 또는 완료 선택 시작."
"40","41","Front","FrontPickerPlaceSequence","3","SelectNextPicker","03:19:29.623","2786","0","Place 다음 피커 선택 시작."
"41","42","Front","FrontPickerPlaceSequence","3","ResolveOutputSide","03:19:29.623","2786","0","Place 아웃풋 사이드 결정 시작."
"42","43","Front","FrontPickerPlaceSequence","3","VerifyOutputStageReady","03:19:29.623","2786","1","Place 아웃풋 스테이지 수령 준비 확인 시작."
"43","44","Front","FrontPickerPlaceSequence","3","ReserveOutputStageTarget","03:19:29.624","2787","23","Place 아웃풋 스테이지 대상 예약 시작."
"44","45","Front","FrontPickerPlaceSequence","3","MoveOutputStageAvoidPosition","03:19:29.647","2810","2","Place 아웃풋 스테이지 피커 진입용 Avoid 이동 시작."
"45","46","Front","FrontPickerPlaceSequence","3","MoveOutputStageReceivePosition","03:19:29.649","2812","3","Place 아웃풋 스테이지 수령 위치 이동 시작."
"46","47","Front","FrontPickerPlaceSequence","3","MoveOutputStageReceivePosition","03:19:29.652","2815","438","Place 대상 좌표 계산 완료."
"47","48","Front","FrontPickerPlaceSequence","3","MoveOutputStageReceivePosition","03:19:30.090","3253","0","Place 대상 좌표 이동 완료."
"48","49","Front","FrontPickerPlaceSequence","3","MoveOutputStageReceivePosition","03:19:30.090","3253","0","Place 대상 좌표 이동 후 Z Ready 확인 완료."
"49","50","Front","FrontPickerPlaceSequence","3","VerifyPlaceTarget","03:19:30.090","3253","0","Place 대상 검증 시작."
"50","51","Front","FrontPickerPlaceSequence","3","MovePickerZPlace","03:19:30.090","3253","411","Place 피커 Z 플레이스 이동 시작."
"51","52","Front","FrontPickerPlaceSequence","3","VacuumOff","03:19:30.501","3664","22","Place 진공 OFF 처리 시작."
"52","53","Front","FrontPickerPlaceSequence","3","BlowOff","03:19:30.523","3686","12","Place 블로우 OFF 처리 시작."
"53","54","Front","FrontPickerPlaceSequence","3","MovePickerZToAvoid","03:19:30.535","3698","376","Place 피커 Z Avoid 이동 시작."
"54","55","Front","FrontPickerPlaceSequence","3","VerifyFlowOff","03:19:30.911","4074","0","Place Flow OFF 최종 확인 시작."
"55","56","Front","FrontPickerPlaceSequence","3","UpdateMaterialToOutputStage","03:19:30.911","4074","26","Place 자재로 아웃풋 스테이지 갱신 시작."
"56","57","Front","FrontPickerPlaceSequence","3","RecoverOutputStageAfterPlace","03:19:30.937","4100","0","Place 완료 후 아웃풋 스테이지 복귀 시작."
"57","58","Front","FrontPickerPlaceSequence","3","SelectNextPickerOrComplete","03:19:30.937","4100","0","Place 완료 후 다음 피커 또는 완료 선택 시작."
"58","59","Front","FrontPickerPlaceSequence","4","SelectNextPicker","03:19:30.937","4100","0","Place 다음 피커 선택 시작."
"59","60","Front","FrontPickerPlaceSequence","4","ResolveOutputSide","03:19:30.937","4100","0","Place 아웃풋 사이드 결정 시작."
"60","61","Front","FrontPickerPlaceSequence","4","VerifyOutputStageReady","03:19:30.937","4100","0","Place 아웃풋 스테이지 수령 준비 확인 시작."
"61","62","Front","FrontPickerPlaceSequence","4","ReserveOutputStageTarget","03:19:30.937","4100","6","Place 아웃풋 스테이지 대상 예약 시작."
"62","63","Front","FrontPickerPlaceSequence","4","MoveOutputStageAvoidPosition","03:19:30.943","4106","0","Place 아웃풋 스테이지 피커 진입용 Avoid 이동 시작."
"63","64","Front","FrontPickerPlaceSequence","4","MoveOutputStageReceivePosition","03:19:30.943","4106","1","Place 아웃풋 스테이지 수령 위치 이동 시작."
"64","65","Front","FrontPickerPlaceSequence","4","MoveOutputStageReceivePosition","03:19:30.944","4107","487","Place 대상 좌표 계산 완료."
"65","66","Front","FrontPickerPlaceSequence","4","MoveOutputStageReceivePosition","03:19:31.431","4594","1","Place 대상 좌표 이동 완료."
"66","67","Front","FrontPickerPlaceSequence","4","MoveOutputStageReceivePosition","03:19:31.432","4595","0","Place 대상 좌표 이동 후 Z Ready 확인 완료."
"67","68","Front","FrontPickerPlaceSequence","4","VerifyPlaceTarget","03:19:31.432","4595","0","Place 대상 검증 시작."
"68","69","Front","FrontPickerPlaceSequence","4","MovePickerZPlace","03:19:31.432","4595","424","Place 피커 Z 플레이스 이동 시작."
"69","70","Front","FrontPickerPlaceSequence","4","VacuumOff","03:19:31.856","5019","15","Place 진공 OFF 처리 시작."
"70","71","Front","FrontPickerPlaceSequence","4","BlowOff","03:19:31.871","5034","9","Place 블로우 OFF 처리 시작."
"71","72","Front","FrontPickerPlaceSequence","4","MovePickerZToAvoid","03:19:31.880","5043","410","Place 피커 Z Avoid 이동 시작."
"72","73","Front","FrontPickerPlaceSequence","4","VerifyFlowOff","03:19:32.290","5453","1","Place Flow OFF 최종 확인 시작."
"73","74","Front","FrontPickerPlaceSequence","4","UpdateMaterialToOutputStage","03:19:32.291","5454","0","Place 자재로 아웃풋 스테이지 갱신 시작."
"74","75","Front","FrontPickerPlaceSequence","4","RecoverOutputStageAfterPlace","03:19:32.291","5454","0","Place 완료 후 아웃풋 스테이지 복귀 시작."
"75","76","Front","FrontPickerPlaceSequence","4","SelectNextPickerOrComplete","03:19:32.291","5454","0","Place 완료 후 다음 피커 또는 완료 선택 시작."
"76","77","Front","FrontPickerPlaceSequence","4","MovePickerToAvoidAfterPlace","03:19:32.291","5454","4747","Place 완료 후 피커 전체 어보이드 복귀 시작."
"77","78","Rear","RearPickerPlaceSequence","","CheckUnit","03:19:37.038","10201","0","Place 시작."
"78","79","Rear","RearPickerPlaceSequence","","BuildPickedPickerList","03:19:37.038","10201","2","Place 피커 목록 생성 시작."
"79","80","Rear","RearPickerPlaceSequence","","MoveAllPickerZToAvoid","03:19:37.040","10203","0","Place 전체 피커 Z Avoid 이동 시작."
"80","81","Rear","RearPickerPlaceSequence","","SelectNextPicker","03:19:37.040","10203","0","Place 다음 피커 선택 시작."
"81","82","Rear","RearPickerPlaceSequence","","ResolveOutputSide","03:19:37.040","10203","0","Place 아웃풋 사이드 결정 시작."
"82","83","Rear","RearPickerPlaceSequence","","VerifyOutputStageReady","03:19:37.040","10203","0","Place 아웃풋 스테이지 수령 준비 확인 시작."
"83","84","Rear","RearPickerPlaceSequence","","ReserveOutputStageTarget","03:19:37.040","10203","6","Place 아웃풋 스테이지 대상 예약 시작."
"84","85","Rear","RearPickerPlaceSequence","","MoveOutputStageAvoidPosition","03:19:37.046","10209","0","Place 아웃풋 스테이지 피커 진입용 Avoid 이동 시작."
